bond_code,currency_type,tenor,issuance_name,outstanding_volume,interest_payment_method,interest_payment_type,coupon_rate,remaining_tenor,status,face_value,duration,issuance_day,issuance_month,issuance_year,maturity_day,maturity_month,maturity_year
BVDB13293,VND,5 Năm,Ngân hàng Phát triển Việt Nam,2800000,Định kỳ - Cuối kỳ,Standard Coupon,9.4,7 ngày,Hủy niêm yết,100000,5.002739726,5,12,2013,5,12,2018
BVDB13294,VND,5 Năm,Ngân hàng Phát triển Việt Nam,3200000,Định kỳ - Cuối kỳ,Standard Coupon,9.4,7 ngày,Hủy niêm yết,100000,5.002739726,10,12,2013,10,12,2018
BVDB13295,VND,5 Năm,Ngân hàng Phát triển Việt Nam,2500000,Định kỳ - Cuối kỳ,Standard Coupon,9.4,7 ngày,Hủy niêm yết,100000,5.002739726,12,12,2013,12,12,2018
BVDB13296,VND,5 Năm,Ngân hàng Phát triển Việt Nam,980,Định kỳ - Cuối kỳ,Standard Coupon,9.4,7 ngày,Hủy niêm yết,100000,5.002739726,19,12,2013,19,12,2018
BVDB14098,VND,2 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,8,0 ngày,Hủy niêm yết,100000,2,14,1,2014,14,1,2016
BVDB14099,VND,2 Năm,Ngân hàng Phát triển Việt Nam,15000000,Định kỳ - Cuối kỳ,Standard Coupon,7.9,0 ngày,Hủy niêm yết,100000,2,21,1,2014,21,1,2016
BVDB14100,VND,2 Năm,Ngân hàng Phát triển Việt Nam,4000000,Định kỳ - Cuối kỳ,Standard Coupon,8,0 ngày,Hủy niêm yết,100000,2,27,1,2014,27,1,2016
BVDB14115,VND,3 Năm,Ngân hàng Phát triển Việt Nam,6000000,Định kỳ - Cuối kỳ,Standard Coupon,8.3,5 ngày,Hủy niêm yết,100000,3.002739726,14,1,2014,14,1,2017
BVDB14116,VND,3 Năm,Ngân hàng Phát triển Việt Nam,7000000,Định kỳ - Cuối kỳ,Standard Coupon,8.3,5 ngày,Hủy niêm yết,100000,3.002739726,21,1,2014,21,1,2017
BVDB14117,VND,3 Năm,Ngân hàng Phát triển Việt Nam,8000000,Định kỳ - Cuối kỳ,Standard Coupon,8.3,8 ngày,Hủy niêm yết,100000,3.002739726,27,1,2014,27,1,2017
BVDB14118,VND,3 Năm,Ngân hàng Phát triển Việt Nam,7000000,Định kỳ - Cuối kỳ,Standard Coupon,7.7,6 ngày,Hủy niêm yết,100000,3.002739726,19,2,2014,19,2,2017
BVDB14120,VND,3 Năm,Ngân hàng Phát triển Việt Nam,3000000,Định kỳ - Cuối kỳ,Standard Coupon,5.6,7 ngày,Hủy niêm yết,100000,3.002739726,12,12,2014,12,12,2017
BVDB14121,VND,3 Năm,Ngân hàng Phát triển Việt Nam,17000000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,7 ngày,Hủy niêm yết,100000,3.002739726,19,12,2014,19,12,2017
BVDB14122,VND,3 Năm,Ngân hàng Phát triển Việt Nam,30000000,Định kỳ - Cuối kỳ,Standard Coupon,6.1,7 ngày,Hủy niêm yết,100000,3.002739726,26,12,2014,26,12,2017
BVDB14123,VND,3 Năm,Ngân hàng Phát triển Việt Nam,29900000,Định kỳ - Cuối kỳ,Standard Coupon,6.1,5 ngày,Hủy niêm yết,100000,3.002739726,30,12,2014,30,12,2017
BVDB14130,VND,5 Năm,Ngân hàng Phát triển Việt Nam,10000000,Định kỳ - Cuối kỳ,Standard Coupon,9.2,7 ngày,Hủy niêm yết,100000,5.002739726,14,1,2014,14,1,2019
BVDB14131,VND,5 Năm,Ngân hàng Phát triển Việt Nam,8000000,Định kỳ - Cuối kỳ,Standard Coupon,9.2,7 ngày,Hủy niêm yết,100000,5.002739726,21,1,2014,21,1,2019
BVDB14132,VND,5 Năm,Ngân hàng Phát triển Việt Nam,8770000,Định kỳ - Cuối kỳ,Standard Coupon,9.2,6 ngày,Hủy niêm yết,100000,5.002739726,27,1,2014,27,1,2019
BVDB14133,VND,5 Năm,Ngân hàng Phát triển Việt Nam,5500000,Định kỳ - Cuối kỳ,Standard Coupon,9,7 ngày,Hủy niêm yết,100000,5.002739726,19,2,2014,19,2,2019
BVDB14134,VND,5 Năm,Ngân hàng Phát triển Việt Nam,600,Định kỳ - Cuối kỳ,Standard Coupon,5.8,7 ngày,Hủy niêm yết,100000,5.002739726,28,11,2014,28,11,2019
BVDB14136,VND,5 Năm,Ngân hàng Phát triển Việt Nam,3562650,Định kỳ - Cuối kỳ,Standard Coupon,6.4,7 ngày,Hủy niêm yết,100000,5.002739726,12,12,2014,12,12,2019
BVDB14137,VND,5 Năm,Ngân hàng Phát triển Việt Nam,6500000,Định kỳ - Cuối kỳ,Standard Coupon,7,7 ngày,Hủy niêm yết,100000,5.002739726,19,12,2014,19,12,2019
BVDB14138,VND,5 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,7,7 ngày,Hủy niêm yết,100000,5.002739726,26,12,2014,26,12,2019
BVDB14139,VND,5 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,7,7 ngày,Hủy niêm yết,100000,5.002739726,30,12,2014,30,12,2019
BVDB14149,VND,10 Năm,Ngân hàng Phát triển Việt Nam,600,Định kỳ - Cuối kỳ,Standard Coupon,9.2,330 ngày,Bình thường,100000,10.00547945,27,1,2014,27,1,2024
BVDB15196,VND,3 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,5.4,5 ngày,Hủy niêm yết,100000,3.002739726,27,1,2015,27,1,2018
BVDB15197,VND,3 Năm,Ngân hàng Phát triển Việt Nam,1000000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,7 ngày,Hủy niêm yết,100000,3.002739726,21,8,2015,21,8,2018
BVDB15204,VND,3 Năm,Ngân hàng Phát triển Việt Nam,19000000,Định kỳ - Cuối kỳ,Standard Coupon,6.7,7 ngày,Hủy niêm yết,100000,3.002739726,16,10,2015,16,10,2018
BVDB15205,VND,3 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,6.6,7 ngày,Hủy niêm yết,100000,3.002739726,23,10,2015,23,10,2018
BVDB15206,VND,3 Năm,Ngân hàng Phát triển Việt Nam,30000000,Định kỳ - Cuối kỳ,Standard Coupon,6.5,7 ngày,Hủy niêm yết,100000,3.002739726,30,10,2015,30,10,2018
BVDB15207,VND,3 Năm,Ngân hàng Phát triển Việt Nam,40000000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,7 ngày,Hủy niêm yết,100000,3.002739726,6,11,2015,6,11,2018
BVDB15208,VND,3 Năm,Ngân hàng Phát triển Việt Nam,10000000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,7 ngày,Hủy niêm yết,100000,3.002739726,13,11,2015,13,11,2018
BVDB15209,VND,3 Năm,Ngân hàng Phát triển Việt Nam,10000000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,6 ngày,Hủy niêm yết,100000,3.002739726,25,11,2015,25,11,2018
BVDB15211,VND,5 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,6.6,7 ngày,Hủy niêm yết,100000,5.002739726,16,1,2015,16,1,2020
BVDB15212,VND,5 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,6.4,11 ngày,Hủy niêm yết,100000,5.002739726,27,1,2015,27,1,2020
BVDB15213,VND,5 Năm,Ngân hàng Phát triển Việt Nam,30000000,Định kỳ - Cuối kỳ,Standard Coupon,5.9,14 ngày,Hủy niêm yết,100000,5.002739726,3,2,2015,3,2,2020
BVDB15221,VND,5 Năm,Ngân hàng Phát triển Việt Nam,500,Định kỳ - Cuối kỳ,Standard Coupon,7.1,7 ngày,Hủy niêm yết,100000,5.005479452,16,10,2015,16,10,2020
BVDB15222,VND,5 Năm,Ngân hàng Phát triển Việt Nam,19000000,Định kỳ - Cuối kỳ,Standard Coupon,7.3,7 ngày,Hủy niêm yết,100000,5.005479452,23,10,2015,23,10,2020
BVDB15223,VND,5 Năm,Ngân hàng Phát triển Việt Nam,23000000,Định kỳ - Cuối kỳ,Standard Coupon,7.3,7 ngày,Hủy niêm yết,100000,5.005479452,30,10,2015,30,10,2020
BVDB15224,VND,5 Năm,Ngân hàng Phát triển Việt Nam,29200000,Định kỳ - Cuối kỳ,Standard Coupon,7.2,7 ngày,Hủy niêm yết,100000,5.005479452,6,11,2015,6,11,2020
BVDB15225,VND,5 Năm,Ngân hàng Phát triển Việt Nam,21500000,Định kỳ - Cuối kỳ,Standard Coupon,7.2,7 ngày,Hủy niêm yết,100000,5.005479452,13,11,2015,13,11,2020
BVDB15235,VND,10 Năm,Ngân hàng Phát triển Việt Nam,500,Định kỳ - Cuối kỳ,Standard Coupon,7.3,958 ngày,Bình thường,100000,10.00821918,16,10,2015,16,10,2025
BVDB15241,VND,15 Năm,Ngân hàng Phát triển Việt Nam,2000000,Định kỳ - Cuối kỳ,Standard Coupon,7.9,2728 ngày,Bình thường,100000,15.0109589,21,8,2015,21,8,2030
BVDB15242,VND,15 Năm,Ngân hàng Phát triển Việt Nam,290,Định kỳ - Cuối kỳ,Standard Coupon,7.9,2739 ngày,Bình thường,100000,15.0109589,1,9,2015,1,9,2030
BVDB15244,VND,15 Năm,Ngân hàng Phát triển Việt Nam,1250000,Định kỳ - Cuối kỳ,Standard Coupon,7.9,2759 ngày,Bình thường,100000,15.0109589,21,9,2015,21,9,2030
BVDB15247,VND,15 Năm,Ngân hàng Phát triển Việt Nam,500,Định kỳ - Cuối kỳ,Standard Coupon,7.9,2780 ngày,Bình thường,100000,15.0109589,12,10,2015,12,10,2030
BVDB15248,VND,15 Năm,Ngân hàng Phát triển Việt Nam,500,Định kỳ - Cuối kỳ,Standard Coupon,7.9,2784 ngày,Bình thường,100000,15.0109589,16,10,2015,16,10,2030
BVDB15251,VND,15 Năm,Ngân hàng Phát triển Việt Nam,200,Định kỳ - Cuối kỳ,Standard Coupon,8,2805 ngày,Bình thường,100000,15.0109589,6,11,2015,6,11,2030
BVDB15326,VND,5 Năm,Ngân hàng Phát triển Việt Nam,7500000,Định kỳ - Cuối kỳ,Standard Coupon,7.2,7 ngày,Hủy niêm yết,100000,5.005479452,25,11,2015,25,11,2020
BVDB15327,VND,5 Năm,Ngân hàng Phát triển Việt Nam,4000000,Định kỳ - Cuối kỳ,Standard Coupon,7.2,7 ngày,Hủy niêm yết,100000,5.005479452,2,12,2015,2,12,2020
BVDB16052,VND,3 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,10 ngày,Hủy niêm yết,100000,3.002739726,6,1,2016,6,1,2019
BVDB16053,VND,3 Năm,Ngân hàng Phát triển Việt Nam,24000000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,6 ngày,Hủy niêm yết,100000,3.002739726,13,1,2016,13,1,2019
BVDB16054,VND,3 Năm,Ngân hàng Phát triển Việt Nam,25000000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,6 ngày,Hủy niêm yết,100000,3.002739726,20,1,2016,20,1,2019
BVDB16055,VND,3 Năm,Ngân hàng Phát triển Việt Nam,30000000,Định kỳ - Cuối kỳ,Standard Coupon,5.7,7 ngày,Hủy niêm yết,100000,3,20,6,2016,20,6,2019
BVDB16056,VND,3 Năm,Ngân hàng Phát triển Việt Nam,7000000,Định kỳ - Cuối kỳ,Standard Coupon,4.6,7 ngày,Hủy niêm yết,100000,3,31,10,2016,31,10,2019
BVDB16103,VND,5 Năm,Ngân hàng Phát triển Việt Nam,15000000,Định kỳ - Cuối kỳ,Standard Coupon,7.2,8 ngày,Hủy niêm yết,100000,5.005479452,6,1,2016,6,1,2021
BVDB16104,VND,5 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,7.2,7 ngày,Hủy niêm yết,100000,5.005479452,13,1,2016,13,1,2021
BVDB16105,VND,5 Năm,Ngân hàng Phát triển Việt Nam,25000000,Định kỳ - Cuối kỳ,Standard Coupon,7.2,7 ngày,Hủy niêm yết,100000,5.005479452,20,1,2016,20,1,2021
BVDB16106,VND,5 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,6 ngày,Hủy niêm yết,100000,5.002739726,20,6,2016,20,6,2021
BVDB16107,VND,5 Năm,Ngân hàng Phát triển Việt Nam,16000000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,6 ngày,Hủy niêm yết,100000,5.002739726,4,7,2016,4,7,2021
BVDB16109,VND,5 Năm,Ngân hàng Phát triển Việt Nam,5290000,Định kỳ - Cuối kỳ,Standard Coupon,5.4,6 ngày,Hủy niêm yết,100000,5.002739726,31,10,2016,31,10,2021
BVDB16110,VND,5 Năm,Ngân hàng Phát triển Việt Nam,6000000,Định kỳ - Cuối kỳ,Standard Coupon,5.5,6 ngày,Hủy niêm yết,100000,5.002739726,7,11,2016,7,11,2021
BVDB16205,VND,15 Năm,Ngân hàng Phát triển Việt Nam,1500000,Định kỳ - Cuối kỳ,Standard Coupon,8,2866 ngày,Bình thường,100000,15.0109589,6,1,2016,6,1,2031
BVDB17215,VND,5 Năm,Ngân hàng Phát triển Việt Nam,2000000,Định kỳ - Cuối kỳ,Standard Coupon,5.5,6 ngày,Hủy niêm yết,100000,5.002739726,23,1,2017,23,1,2022
BVDB17216,VND,5 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,5.4,14 ngày,Hủy niêm yết,100000,5.002739726,8,2,2017,8,2,2022
BVDB17217,VND,5 Năm,Ngân hàng Phát triển Việt Nam,15000000,Định kỳ - Cuối kỳ,Standard Coupon,5.3,7 ngày,Hủy niêm yết,100000,5.002739726,14,2,2017,14,2,2022
BVDB17218,VND,5 Năm,Ngân hàng Phát triển Việt Nam,16000000,Định kỳ - Cuối kỳ,Standard Coupon,5,7 ngày,Hủy niêm yết,100000,5.002739726,29,11,2017,29,11,2022
BVDB17265,VND,10 Năm,Ngân hàng Phát triển Việt Nam,5000000,Định kỳ - Cuối kỳ,Standard Coupon,6.8,1415 ngày,Bình thường,100000,10.00547945,16,1,2017,16,1,2027
BVDB17266,VND,10 Năm,Ngân hàng Phát triển Việt Nam,11500000,Định kỳ - Cuối kỳ,Standard Coupon,6.8,1422 ngày,Bình thường,100000,10.00547945,23,1,2017,23,1,2027
BVDB17267,VND,10 Năm,Ngân hàng Phát triển Việt Nam,15000000,Định kỳ - Cuối kỳ,Standard Coupon,6.7,1438 ngày,Bình thường,100000,10.00547945,8,2,2017,8,2,2027
BVDB17268,VND,10 Năm,Ngân hàng Phát triển Việt Nam,25000000,Định kỳ - Cuối kỳ,Standard Coupon,6.6,1444 ngày,Bình thường,100000,10.00547945,14,2,2017,14,2,2027
BVDB17269,VND,10 Năm,Ngân hàng Phát triển Việt Nam,11000000,Định kỳ - Cuối kỳ,Standard Coupon,5.9,1732 ngày,Bình thường,100000,10.00547945,29,11,2017,29,11,2027
BVDB17270,VND,10 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,5.9,1739 ngày,Bình thường,100000,10.00547945,6,12,2017,6,12,2027
BVDB17271,VND,10 Năm,Ngân hàng Phát triển Việt Nam,25000000,Định kỳ - Cuối kỳ,Standard Coupon,5.7,1758 ngày,Bình thường,100000,10.00547945,25,12,2017,25,12,2027
BVDB17315,VND,15 Năm,Ngân hàng Phát triển Việt Nam,5000000,Định kỳ - Cuối kỳ,Standard Coupon,7.6,3248 ngày,Bình thường,100000,15.00821918,23,1,2017,23,1,2032
BVDB17316,VND,15 Năm,Ngân hàng Phát triển Việt Nam,5000000,Định kỳ - Cuối kỳ,Standard Coupon,7.6,3264 ngày,Bình thường,100000,15.00821918,8,2,2017,8,2,2032
BVDB17317,VND,15 Năm,Ngân hàng Phát triển Việt Nam,10500000,Định kỳ - Cuối kỳ,Standard Coupon,7.6,3270 ngày,Bình thường,100000,15.00821918,14,2,2017,14,2,2032
BVDB17318,VND,15 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,3559 ngày,Bình thường,100000,15.0109589,29,11,2017,29,11,2032
BVDB17319,VND,15 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,3566 ngày,Bình thường,100000,15.0109589,6,12,2017,6,12,2032
BVDB17320,VND,15 Năm,Ngân hàng Phát triển Việt Nam,25450000,Định kỳ - Cuối kỳ,Standard Coupon,5.9,3585 ngày,Bình thường,100000,15.0109589,25,12,2017,25,12,2032
BVDB18001,VND,3 Năm,Ngân hàng Phát triển Việt Nam,12500000,Định kỳ - Cuối kỳ,Standard Coupon,5.1,6 ngày,Hủy niêm yết,100000,3.002739726,12,12,2018,12,12,2021
BVDB18002,VND,3 Năm,Ngân hàng Phát triển Việt Nam,15000000,Định kỳ - Cuối kỳ,Standard Coupon,5.1,6 ngày,Hủy niêm yết,100000,3.002739726,19,12,2018,19,12,2021
BVDB18003,VND,3 Năm,Ngân hàng Phát triển Việt Nam,15000000,Định kỳ - Cuối kỳ,Standard Coupon,5,6 ngày,Hủy niêm yết,100000,3.002739726,26,12,2018,26,12,2021
BVDB18021,VND,5 Năm,Ngân hàng Phát triển Việt Nam,5000000,Định kỳ - Cuối kỳ,Standard Coupon,5.3,284 ngày,Bình thường,100000,5.002739726,12,12,2018,12,12,2023
BVDB18022,VND,5 Năm,Ngân hàng Phát triển Việt Nam,7000000,Định kỳ - Cuối kỳ,Standard Coupon,5.3,291 ngày,Bình thường,100000,5.002739726,19,12,2018,19,12,2023
BVDB18023,VND,5 Năm,Ngân hàng Phát triển Việt Nam,9000000,Định kỳ - Cuối kỳ,Standard Coupon,5.3,298 ngày,Bình thường,100000,5.002739726,26,12,2018,26,12,2023
BVDB18041,VND,10 Năm,Ngân hàng Phát triển Việt Nam,12000000,Định kỳ - Cuối kỳ,Standard Coupon,5.8,2111 ngày,Bình thường,100000,10.00821918,12,12,2018,12,12,2028
BVDB18042,VND,10 Năm,Ngân hàng Phát triển Việt Nam,11000000,Định kỳ - Cuối kỳ,Standard Coupon,5.8,2118 ngày,Bình thường,100000,10.00821918,19,12,2018,19,12,2028
BVDB18043,VND,10 Năm,Ngân hàng Phát triển Việt Nam,15000000,Định kỳ - Cuối kỳ,Standard Coupon,5.8,2125 ngày,Bình thường,100000,10.00821918,26,12,2018,26,12,2028
BVDB18061,VND,15 Năm,Ngân hàng Phát triển Việt Nam,14950000,Định kỳ - Cuối kỳ,Standard Coupon,6,3937 ngày,Bình thường,100000,15.0109589,12,12,2018,12,12,2033
BVDB18063,VND,15 Năm,Ngân hàng Phát triển Việt Nam,4000000,Định kỳ - Cuối kỳ,Standard Coupon,6.1,3951 ngày,Bình thường,100000,15.0109589,26,12,2018,26,12,2033
BVDB18235,VND,7 Năm,Ngân hàng Phát triển Việt Nam,20000000,Định kỳ - Cuối kỳ,Standard Coupon,5.5,1015 ngày,Bình thường,100000,7.005479452,12,12,2018,12,12,2025
BVDB18236,VND,7 Năm,Ngân hàng Phát triển Việt Nam,10000000,Định kỳ - Cuối kỳ,Standard Coupon,5.5,1022 ngày,Bình thường,100000,7.005479452,19,12,2018,19,12,2025
BVDB18237,VND,7 Năm,Ngân hàng Phát triển Việt Nam,15000000,Định kỳ - Cuối kỳ,Standard Coupon,5.5,1029 ngày,Bình thường,100000,7.005479452,26,12,2018,26,12,2025
BVDB19021,VND,5 Năm,Ngân hàng Phát triển Việt Nam,2000000,Định kỳ - Cuối kỳ,Standard Coupon,3.7,621 ngày,Bình thường,100000,5.005479452,13,11,2019,13,11,2024
BVDB19022,VND,5 Năm,Ngân hàng Phát triển Việt Nam,9000000,Định kỳ - Cuối kỳ,Standard Coupon,3.7,628 ngày,Bình thường,100000,5.005479452,20,11,2019,20,11,2024
BVDB19041,VND,7 Năm,Ngân hàng Phát triển Việt Nam,3000000,Định kỳ - Cuối kỳ,Standard Coupon,4,1351 ngày,Bình thường,100000,7.005479452,13,11,2019,13,11,2026
BVDB19042,VND,7 Năm,Ngân hàng Phát triển Việt Nam,8500000,Định kỳ - Cuối kỳ,Standard Coupon,3.9,1358 ngày,Bình thường,100000,7.005479452,20,11,2019,20,11,2026
BVDB19061,VND,10 Năm,Ngân hàng Phát triển Việt Nam,10000000,Định kỳ - Cuối kỳ,Standard Coupon,4.5,2447 ngày,Bình thường,100000,10.00821918,13,11,2019,13,11,2029
BVDB19062,VND,10 Năm,Ngân hàng Phát triển Việt Nam,30000000,Định kỳ - Cuối kỳ,Standard Coupon,4.4,2454 ngày,Bình thường,100000,10.00821918,20,11,2019,20,11,2029
BVDB19063,VND,10 Năm,Ngân hàng Phát triển Việt Nam,10000000,Định kỳ - Cuối kỳ,Standard Coupon,4.3,2461 ngày,Bình thường,100000,10.00821918,27,11,2019,27,11,2029
BVDB19064,VND,10 Năm,Ngân hàng Phát triển Việt Nam,7000000,Định kỳ - Cuối kỳ,Standard Coupon,4.2,2468 ngày,Bình thường,100000,10.00821918,4,12,2019,4,12,2029
BVDB19081,VND,15 Năm,Ngân hàng Phát triển Việt Nam,10000000,Định kỳ - Cuối kỳ,Standard Coupon,4.5,4273 ngày,Bình thường,100000,15.0109589,13,11,2019,13,11,2034
BVDB19082,VND,15 Năm,Ngân hàng Phát triển Việt Nam,30000000,Định kỳ - Cuối kỳ,Standard Coupon,4.5,4280 ngày,Bình thường,100000,15.0109589,20,11,2019,20,11,2034
BVDB19083,VND,15 Năm,Ngân hàng Phát triển Việt Nam,11470000,Định kỳ - Cuối kỳ,Standard Coupon,4.4,4287 ngày,Bình thường,100000,15.0109589,27,11,2019,27,11,2034
BVDB19084,VND,15 Năm,Ngân hàng Phát triển Việt Nam,7000000,Định kỳ - Cuối kỳ,Standard Coupon,4.3,4294 ngày,Bình thường,100000,15.0109589,4,12,2019,4,12,2034
BVDB20084,VND,10 Năm,Ngân hàng Phát triển Việt Nam,50000000,Định kỳ - Cuối kỳ,Standard Coupon,3.1,2810 ngày,Bình thường,100000,10.00547945,11,11,2020,11,11,2030
BVDB20085,VND,10 Năm,Ngân hàng Phát triển Việt Nam,25000000,Định kỳ - Cuối kỳ,Standard Coupon,3,2822 ngày,Bình thường,100000,10.00547945,23,11,2020,23,11,2030
BVDB20086,VND,10 Năm,Ngân hàng Phát triển Việt Nam,12500000,Định kỳ - Cuối kỳ,Standard Coupon,2.7,2838 ngày,Bình thường,100000,10.00547945,9,12,2020,9,12,2030
BVDB20087,VND,10 Năm,Ngân hàng Phát triển Việt Nam,6000000,Định kỳ - Cuối kỳ,Standard Coupon,2.7,2852 ngày,Bình thường,100000,10.00547945,23,12,2020,23,12,2030
BVDB20099,VND,15 Năm,Ngân hàng Phát triển Việt Nam,50000000,Định kỳ - Cuối kỳ,Standard Coupon,3.3,4636 ngày,Bình thường,100000,15.00821918,11,11,2020,11,11,2035
BVDB20100,VND,15 Năm,Ngân hàng Phát triển Việt Nam,25000000,Định kỳ - Cuối kỳ,Standard Coupon,3.2,4648 ngày,Bình thường,100000,15.00821918,23,11,2020,23,11,2035
BVDB20101,VND,15 Năm,Ngân hàng Phát triển Việt Nam,26000000,Định kỳ - Cuối kỳ,Standard Coupon,2.9,4664 ngày,Bình thường,100000,15.00821918,9,12,2020,9,12,2035
BVDB20102,VND,15 Năm,Ngân hàng Phát triển Việt Nam,15500000,Định kỳ - Cuối kỳ,Standard Coupon,2.8,4678 ngày,Bình thường,100000,15.00821918,23,12,2020,23,12,2035
BVDB20103,VND,15 Năm,Ngân hàng Phát triển Việt Nam,9000000,Định kỳ - Cuối kỳ,Standard Coupon,2.9,4684 ngày,Bình thường,100000,15.00821918,29,12,2020,29,12,2035
BVDB21061,VND,5 Năm,Ngân hàng Phát triển Việt Nam,10000000,Định kỳ - Cuối kỳ,Standard Coupon,1.1,1362 ngày,Bình thường,100000,5.002739726,24,11,2021,24,11,2026
BVDB21063,VND,5 Năm,Ngân hàng Phát triển Việt Nam,5000000,Định kỳ - Cuối kỳ,Standard Coupon,1.1,1378 ngày,Bình thường,100000,5.002739726,10,12,2021,10,12,2026
BVDB21076,VND,7 Năm,Ngân hàng Phát triển Việt Nam,10000000,Định kỳ - Cuối kỳ,Standard Coupon,1.5,2093 ngày,Bình thường,100000,7.005479452,24,11,2021,24,11,2028
BVDB21078,VND,7 Năm,Ngân hàng Phát triển Việt Nam,2000000,Định kỳ - Cuối kỳ,Standard Coupon,1.5,2109 ngày,Bình thường,100000,7.005479452,10,12,2021,10,12,2028
BVDB21091,VND,10 Năm,Ngân hàng Phát triển Việt Nam,10000000,Định kỳ - Cuối kỳ,Standard Coupon,2.3,3188 ngày,Bình thường,100000,10.00547945,24,11,2021,24,11,2031
BVDB21092,VND,10 Năm,Ngân hàng Phát triển Việt Nam,15000000,Định kỳ - Cuối kỳ,Standard Coupon,2.3,3197 ngày,Bình thường,100000,10.00547945,3,12,2021,3,12,2031
BVDB21093,VND,10 Năm,Ngân hàng Phát triển Việt Nam,40000000,Định kỳ - Cuối kỳ,Standard Coupon,2.3,3204 ngày,Bình thường,100000,10.00547945,10,12,2021,10,12,2031
BVDB21094,VND,10 Năm,Ngân hàng Phát triển Việt Nam,13000000,Định kỳ - Cuối kỳ,Standard Coupon,2.5,3214 ngày,Bình thường,100000,10.00547945,20,12,2021,20,12,2031
BVGD16497,VND,5 Năm,UBND tỉnh Bà Rịa - Vũng Tàu,5000000,Định kỳ - Cuối kỳ,Standard Coupon,6.7,9 ngày,Hủy niêm yết,100000,5.002739726,9,9,2016,9,9,2021
CP061102,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,4000000,Định kỳ - Cuối kỳ,Standard Coupon,8.75,0 ngày,Hủy niêm yết,100000,5.002739726,26,4,2006,26,4,2011
CP061103,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,3500000,Định kỳ - Cuối kỳ,Standard Coupon,8.75,0 ngày,Hủy niêm yết,100000,5.002739726,10,5,2006,10,5,2011
CP061104,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,7000000,Định kỳ - Cuối kỳ,Standard Coupon,8.73,0 ngày,Hủy niêm yết,100000,5.002739726,17,5,2006,17,5,2011
CP061105,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,5000000,Định kỳ - Cuối kỳ,Standard Coupon,8.73,0 ngày,Hủy niêm yết,100000,5.002739726,7,6,2006,7,6,2011
CP061106,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,4920000,Định kỳ - Cuối kỳ,Standard Coupon,8.72,0 ngày,Hủy niêm yết,100000,5.002739726,21,6,2006,21,6,2011
CP061107,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,3000000,Định kỳ - Cuối kỳ,Standard Coupon,8.7,0 ngày,Hủy niêm yết,100000,5.002739726,19,7,2006,19,7,2011
CP061108,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,4800000,Định kỳ - Cuối kỳ,Standard Coupon,8.67,0 ngày,Hủy niêm yết,100000,5.002739726,26,7,2006,26,7,2011
CP061109,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,3000000,Định kỳ - Cuối kỳ,Standard Coupon,8.63,0 ngày,Hủy niêm yết,100000,5.002739726,2,8,2006,2,8,2011
CP061110,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,5000000,Định kỳ - Cuối kỳ,Standard Coupon,8.25,0 ngày,Hủy niêm yết,100000,5.002739726,16,8,2006,16,8,2011
