bond_code,currency_type,tenor,issuance_name,outstanding_volume,interest_payment_method,interest_payment_type,coupon_rate,remaining_tenor,status,face_value,duration,issuance_day,issuance_month,issuance_year,maturity_day,maturity_month,maturity_year
BVBS13174,VND,3 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,8,0 ngày,Hủy niêm yết,100000,3.002739726,20,8,2013,20,8,2016
BVBS13175,VND,3 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,8.2,5 ngày,Hủy niêm yết,100000,3.002739726,27,8,2013,27,8,2016
BVBS13186,VND,3 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,8.5,6 ngày,Hủy niêm yết,100000,3.002739726,18,12,2013,18,12,2016
BVBS13210,VND,5 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,9.4,7 ngày,Hủy niêm yết,100000,5.002739726,11,12,2013,11,12,2018
BVBS14001,VND,2 Năm,Ngân hàng Chính sách Xã hội,2300000,Định kỳ - Cuối kỳ,Standard Coupon,7.9,0 ngày,Hủy niêm yết,100000,2,22,1,2014,22,1,2016
BVBS14011,VND,3 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,8.2,6 ngày,Hủy niêm yết,100000,3.002739726,22,1,2014,22,1,2017
BVBS14012,VND,3 Năm,Ngân hàng Chính sách Xã hội,1700000,Định kỳ - Cuối kỳ,Standard Coupon,7.8,5 ngày,Hủy niêm yết,100000,3.002739726,18,2,2014,18,2,2017
BVBS14013,VND,3 Năm,Ngân hàng Chính sách Xã hội,3500000,Định kỳ - Cuối kỳ,Standard Coupon,7.5,5 ngày,Hủy niêm yết,100000,3.002739726,25,2,2014,25,2,2017
BVBS14015,VND,3 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,7.3,5 ngày,Hủy niêm yết,100000,3.002739726,11,3,2014,11,3,2017
BVBS14016,VND,3 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,6.9,5 ngày,Hủy niêm yết,100000,3.002739726,1,4,2014,1,4,2017
BVBS14017,VND,3 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,6.9,8 ngày,Hủy niêm yết,100000,3.002739726,8,4,2014,8,4,2017
BVBS14019,VND,3 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,6.8,7 ngày,Hủy niêm yết,100000,3.002739726,24,4,2014,24,4,2017
BVBS14023,VND,3 Năm,Ngân hàng Chính sách Xã hội,2500000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,5 ngày,Hủy niêm yết,100000,3.002739726,22,7,2014,22,7,2017
BVBS14024,VND,3 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,6,5 ngày,Hủy niêm yết,100000,3.002739726,19,8,2014,19,8,2017
BVBS14028,VND,3 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,6.1,6 ngày,Hủy niêm yết,100000,3.002739726,24,12,2014,24,12,2017
BVBS14036,VND,5 Năm,Ngân hàng Chính sách Xã hội,2018250,Định kỳ - Cuối kỳ,Standard Coupon,9.2,7 ngày,Hủy niêm yết,100000,5.002739726,22,1,2014,22,1,2019
BVBS14037,VND,5 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,9,7 ngày,Hủy niêm yết,100000,5.002739726,18,2,2014,18,2,2019
BVBS14041,VND,5 Năm,Ngân hàng Chính sách Xã hội,4500000,Định kỳ - Cuối kỳ,Standard Coupon,7.8,7 ngày,Hủy niêm yết,100000,5.002739726,1,4,2014,1,4,2019
BVBS14042,VND,5 Năm,Ngân hàng Chính sách Xã hội,500,Định kỳ - Cuối kỳ,Standard Coupon,7.8,7 ngày,Hủy niêm yết,100000,5.002739726,8,4,2014,8,4,2019
BVBS14043,VND,5 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,7.6,8 ngày,Hủy niêm yết,100000,5.002739726,16,4,2014,16,4,2019
BVBS14046,VND,5 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,7.6,7 ngày,Hủy niêm yết,100000,5.002739726,14,5,2014,14,5,2019
BVBS14050,VND,5 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,6.7,8 ngày,Hủy niêm yết,100000,5.002739726,4,9,2014,4,9,2019
BVBS14052,VND,5 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,5.5,7 ngày,Hủy niêm yết,100000,5.002739726,11,11,2014,11,11,2019
BVBS14199,VND,15 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,8.1,2488 ngày,Bình thường,100000,15.0109589,24,12,2014,24,12,2029
BVBS15021,VND,3 Năm,Ngân hàng Chính sách Xã hội,2900000,Định kỳ - Cuối kỳ,Standard Coupon,5.5,7 ngày,Hủy niêm yết,100000,3.002739726,19,1,2015,19,1,2018
