bond_code,currency_type,tenor,issuance_volume,outstanding_volume,interest_payment_method,issuance_date,maturity_date,interest_payment_type,coupon_rate,first_trading_date,remaining_tenor,status,face_value
BVDB15223,VND,5 Năm,Ngân hàng Phát triển Việt Nam,23.000.000,Định kỳ - Cuối kỳ,30/10/2015,30/10/2020,Standard Coupon,"7,3",3/11/2015,7 ngày,Hủy niêm yết,100000
BVDB15224,VND,5 Năm,Ngân hàng Phát triển Việt Nam,29.200.000,Định kỳ - Cuối kỳ,6/11/2015,6/11/2020,Standard Coupon,"7,2",10/11/2015,7 ngày,Hủy niêm yết,100000
BVDB15225,VND,5 Năm,Ngân hàng Phát triển Việt Nam,21.500.000,Định kỳ - Cuối kỳ,13/11/2015,13/11/2020,Standard Coupon,"7,2",17/11/2015,7 ngày,Hủy niêm yết,100000
BVDB15235,VND,10 Năm,Ngân hàng Phát triển Việt Nam,500,Định kỳ - Cuối kỳ,16/10/2015,16/10/2025,Standard Coupon,"7,3",20/10/2015,958 ngày,Bình thường,100000
BVDB15241,VND,15 Năm,Ngân hàng Phát triển Việt Nam,2.000.000,Định kỳ - Cuối kỳ,21/08/2015,21/08/2030,Standard Coupon,"7,9",24/08/2015,2728 ngày,Bình thường,100000
BVDB15242,VND,15 Năm,Ngân hàng Phát triển Việt Nam,290,Định kỳ - Cuối kỳ,1/9/2015,1/9/2030,Standard Coupon,"7,9",3/9/2015,2739 ngày,Bình thường,100000
BVDB15244,VND,15 Năm,Ngân hàng Phát triển Việt Nam,1.250.000,Định kỳ - Cuối kỳ,21/09/2015,21/09/2030,Standard Coupon,"7,9",23/09/2015,2759 ngày,Bình thường,100000
BVDB15247,VND,15 Năm,Ngân hàng Phát triển Việt Nam,500,Định kỳ - Cuối kỳ,12/10/2015,12/10/2030,Standard Coupon,"7,9",13/10/2015,2780 ngày,Bình thường,100000
BVDB15248,VND,15 Năm,Ngân hàng Phát triển Việt Nam,500,Định kỳ - Cuối kỳ,16/10/2015,16/10/2030,Standard Coupon,"7,9",20/10/2015,2784 ngày,Bình thường,100000
BVDB15251,VND,15 Năm,Ngân hàng Phát triển Việt Nam,200,Định kỳ - Cuối kỳ,6/11/2015,6/11/2030,Standard Coupon,8,10/11/2015,2805 ngày,Bình thường,100000
BVDB15326,VND,5 Năm,Ngân hàng Phát triển Việt Nam,7.500.000,Định kỳ - Cuối kỳ,25/11/2015,25/11/2020,Standard Coupon,"7,2",27/11/2015,7 ngày,Hủy niêm yết,100000
BVDB15327,VND,5 Năm,Ngân hàng Phát triển Việt Nam,4.000.000,Định kỳ - Cuối kỳ,2/12/2015,2/12/2020,Standard Coupon,"7,2",4/12/2015,7 ngày,Hủy niêm yết,100000
BVDB16052,VND,3 Năm,Ngân hàng Phát triển Việt Nam,20.000.000,Định kỳ - Cuối kỳ,6/1/2016,6/1/2019,Standard Coupon,"6,2",8/1/2016,10 ngày,Hủy niêm yết,100000
BVDB16053,VND,3 Năm,Ngân hàng Phát triển Việt Nam,24.000.000,Định kỳ - Cuối kỳ,13/01/2016,13/01/2019,Standard Coupon,"6,2",15/01/2016,6 ngày,Hủy niêm yết,100000
BVDB16054,VND,3 Năm,Ngân hàng Phát triển Việt Nam,25.000.000,Định kỳ - Cuối kỳ,20/01/2016,20/01/2019,Standard Coupon,"6,2",22/01/2016,6 ngày,Hủy niêm yết,100000
BVDB16055,VND,3 Năm,Ngân hàng Phát triển Việt Nam,30.000.000,Định kỳ - Cuối kỳ,20/06/2016,20/06/2019,Standard Coupon,"5,7",21/06/2016,7 ngày,Hủy niêm yết,100000
BVDB16056,VND,3 Năm,Ngân hàng Phát triển Việt Nam,7.000.000,Định kỳ - Cuối kỳ,31/10/2016,31/10/2019,Standard Coupon,"4,6",1/11/2016,7 ngày,Hủy niêm yết,100000
BVDB16103,VND,5 Năm,Ngân hàng Phát triển Việt Nam,15.000.000,Định kỳ - Cuối kỳ,6/1/2016,6/1/2021,Standard Coupon,"7,2",8/1/2016,8 ngày,Hủy niêm yết,100000
BVDB16104,VND,5 Năm,Ngân hàng Phát triển Việt Nam,20.000.000,Định kỳ - Cuối kỳ,13/01/2016,13/01/2021,Standard Coupon,"7,2",15/01/2016,7 ngày,Hủy niêm yết,100000
BVDB16105,VND,5 Năm,Ngân hàng Phát triển Việt Nam,25.000.000,Định kỳ - Cuối kỳ,20/01/2016,20/01/2021,Standard Coupon,"7,2",22/01/2016,7 ngày,Hủy niêm yết,100000
BVDB16106,VND,5 Năm,Ngân hàng Phát triển Việt Nam,20.000.000,Định kỳ - Cuối kỳ,20/06/2016,20/06/2021,Standard Coupon,"6,2",21/06/2016,6 ngày,Hủy niêm yết,100000
BVDB16107,VND,5 Năm,Ngân hàng Phát triển Việt Nam,16.000.000,Định kỳ - Cuối kỳ,4/7/2016,4/7/2021,Standard Coupon,"6,3",5/7/2016,6 ngày,Hủy niêm yết,100000
BVDB16109,VND,5 Năm,Ngân hàng Phát triển Việt Nam,5.290.000,Định kỳ - Cuối kỳ,31/10/2016,31/10/2021,Standard Coupon,"5,4",1/11/2016,6 ngày,Hủy niêm yết,100000
BVDB16110,VND,5 Năm,Ngân hàng Phát triển Việt Nam,6.000.000,Định kỳ - Cuối kỳ,7/11/2016,7/11/2021,Standard Coupon,"5,5",8/11/2016,6 ngày,Hủy niêm yết,100000
BVDB16205,VND,15 Năm,Ngân hàng Phát triển Việt Nam,1.500.000,Định kỳ - Cuối kỳ,6/1/2016,6/1/2031,Standard Coupon,8,8/1/2016,2866 ngày,Bình thường,100000
BVDB17215,VND,5 Năm,Ngân hàng Phát triển Việt Nam,2.000.000,Định kỳ - Cuối kỳ,23/01/2017,23/01/2022,Standard Coupon,"5,5",24/01/2017,6 ngày,Hủy niêm yết,100000
BVDB17216,VND,5 Năm,Ngân hàng Phát triển Việt Nam,20.000.000,Định kỳ - Cuối kỳ,8/2/2017,8/2/2022,Standard Coupon,"5,4",9/2/2017,14 ngày,Hủy niêm yết,100000
BVDB17217,VND,5 Năm,Ngân hàng Phát triển Việt Nam,15.000.000,Định kỳ - Cuối kỳ,14/02/2017,14/02/2022,Standard Coupon,"5,3",15/02/2017,7 ngày,Hủy niêm yết,100000
BVDB17218,VND,5 Năm,Ngân hàng Phát triển Việt Nam,16.000.000,Định kỳ - Cuối kỳ,29/11/2017,29/11/2022,Standard Coupon,5,30/11/2017,7 ngày,Hủy niêm yết,100000
BVDB17265,VND,10 Năm,Ngân hàng Phát triển Việt Nam,5.000.000,Định kỳ - Cuối kỳ,16/01/2017,16/01/2027,Standard Coupon,"6,8",17/01/2017,1415 ngày,Bình thường,100000
BVDB17266,VND,10 Năm,Ngân hàng Phát triển Việt Nam,11.500.000,Định kỳ - Cuối kỳ,23/01/2017,23/01/2027,Standard Coupon,"6,8",24/01/2017,1422 ngày,Bình thường,100000
BVDB17267,VND,10 Năm,Ngân hàng Phát triển Việt Nam,15.000.000,Định kỳ - Cuối kỳ,8/2/2017,8/2/2027,Standard Coupon,"6,7",9/2/2017,1438 ngày,Bình thường,100000
BVDB17268,VND,10 Năm,Ngân hàng Phát triển Việt Nam,25.000.000,Định kỳ - Cuối kỳ,14/02/2017,14/02/2027,Standard Coupon,"6,6",15/02/2017,1444 ngày,Bình thường,100000
BVDB17269,VND,10 Năm,Ngân hàng Phát triển Việt Nam,11.000.000,Định kỳ - Cuối kỳ,29/11/2017,29/11/2027,Standard Coupon,"5,9",30/11/2017,1732 ngày,Bình thường,100000
BVDB17270,VND,10 Năm,Ngân hàng Phát triển Việt Nam,20.000.000,Định kỳ - Cuối kỳ,6/12/2017,6/12/2027,Standard Coupon,"5,9",7/12/2017,1739 ngày,Bình thường,100000
BVDB17271,VND,10 Năm,Ngân hàng Phát triển Việt Nam,25.000.000,Định kỳ - Cuối kỳ,25/12/2017,25/12/2027,Standard Coupon,"5,7",26/12/2017,1758 ngày,Bình thường,100000
BVDB17315,VND,15 Năm,Ngân hàng Phát triển Việt Nam,5.000.000,Định kỳ - Cuối kỳ,23/01/2017,23/01/2032,Standard Coupon,"7,6",24/01/2017,3248 ngày,Bình thường,100000
BVDB17316,VND,15 Năm,Ngân hàng Phát triển Việt Nam,5.000.000,Định kỳ - Cuối kỳ,8/2/2017,8/2/2032,Standard Coupon,"7,6",9/2/2017,3264 ngày,Bình thường,100000
BVDB17317,VND,15 Năm,Ngân hàng Phát triển Việt Nam,10.500.000,Định kỳ - Cuối kỳ,14/02/2017,14/02/2032,Standard Coupon,"7,6",15/02/2017,3270 ngày,Bình thường,100000
BVDB17318,VND,15 Năm,Ngân hàng Phát triển Việt Nam,20.000.000,Định kỳ - Cuối kỳ,29/11/2017,29/11/2032,Standard Coupon,"6,2",30/11/2017,3559 ngày,Bình thường,100000
BVDB17319,VND,15 Năm,Ngân hàng Phát triển Việt Nam,20.000.000,Định kỳ - Cuối kỳ,6/12/2017,6/12/2032,Standard Coupon,"6,2",7/12/2017,3566 ngày,Bình thường,100000
BVDB17320,VND,15 Năm,Ngân hàng Phát triển Việt Nam,25.450.000,Định kỳ - Cuối kỳ,25/12/2017,25/12/2032,Standard Coupon,"5,9",26/12/2017,3585 ngày,Bình thường,100000
BVDB18001,VND,3 Năm,Ngân hàng Phát triển Việt Nam,12.500.000,Định kỳ - Cuối kỳ,12/12/2018,12/12/2021,Standard Coupon,"5,1",13/12/2018,6 ngày,Hủy niêm yết,100000
BVDB18002,VND,3 Năm,Ngân hàng Phát triển Việt Nam,15.000.000,Định kỳ - Cuối kỳ,19/12/2018,19/12/2021,Standard Coupon,"5,1",20/12/2018,6 ngày,Hủy niêm yết,100000
BVDB18003,VND,3 Năm,Ngân hàng Phát triển Việt Nam,15.000.000,Định kỳ - Cuối kỳ,26/12/2018,26/12/2021,Standard Coupon,5,27/12/2018,6 ngày,Hủy niêm yết,100000
BVDB18021,VND,5 Năm,Ngân hàng Phát triển Việt Nam,5.000.000,Định kỳ - Cuối kỳ,12/12/2018,12/12/2023,Standard Coupon,"5,3",13/12/2018,284 ngày,Bình thường,100000
BVDB18022,VND,5 Năm,Ngân hàng Phát triển Việt Nam,7.000.000,Định kỳ - Cuối kỳ,19/12/2018,19/12/2023,Standard Coupon,"5,3",20/12/2018,291 ngày,Bình thường,100000
BVDB18023,VND,5 Năm,Ngân hàng Phát triển Việt Nam,9.000.000,Định kỳ - Cuối kỳ,26/12/2018,26/12/2023,Standard Coupon,"5,3",27/12/2018,298 ngày,Bình thường,100000
BVDB18041,VND,10 Năm,Ngân hàng Phát triển Việt Nam,12.000.000,Định kỳ - Cuối kỳ,12/12/2018,12/12/2028,Standard Coupon,"5,8",13/12/2018,2111 ngày,Bình thường,100000
BVDB18042,VND,10 Năm,Ngân hàng Phát triển Việt Nam,11.000.000,Định kỳ - Cuối kỳ,19/12/2018,19/12/2028,Standard Coupon,"5,8",20/12/2018,2118 ngày,Bình thường,100000
BVDB18043,VND,10 Năm,Ngân hàng Phát triển Việt Nam,15.000.000,Định kỳ - Cuối kỳ,26/12/2018,26/12/2028,Standard Coupon,"5,8",27/12/2018,2125 ngày,Bình thường,100000
BVDB18061,VND,15 Năm,Ngân hàng Phát triển Việt Nam,14.950.000,Định kỳ - Cuối kỳ,12/12/2018,12/12/2033,Standard Coupon,6,13/12/2018,3937 ngày,Bình thường,100000
BVDB18063,VND,15 Năm,Ngân hàng Phát triển Việt Nam,4.000.000,Định kỳ - Cuối kỳ,26/12/2018,26/12/2033,Standard Coupon,"6,1",27/12/2018,3951 ngày,Bình thường,100000
BVDB18235,VND,7 Năm,Ngân hàng Phát triển Việt Nam,20.000.000,Định kỳ - Cuối kỳ,12/12/2018,12/12/2025,Standard Coupon,"5,5",13/12/2018,1015 ngày,Bình thường,100000
BVDB18236,VND,7 Năm,Ngân hàng Phát triển Việt Nam,10.000.000,Định kỳ - Cuối kỳ,19/12/2018,19/12/2025,Standard Coupon,"5,5",20/12/2018,1022 ngày,Bình thường,100000
BVDB18237,VND,7 Năm,Ngân hàng Phát triển Việt Nam,15.000.000,Định kỳ - Cuối kỳ,26/12/2018,26/12/2025,Standard Coupon,"5,5",27/12/2018,1029 ngày,Bình thường,100000
BVDB19021,VND,5 Năm,Ngân hàng Phát triển Việt Nam,2.000.000,Định kỳ - Cuối kỳ,13/11/2019,13/11/2024,Standard Coupon,"3,7",14/11/2019,621 ngày,Bình thường,100000
BVDB19022,VND,5 Năm,Ngân hàng Phát triển Việt Nam,9.000.000,Định kỳ - Cuối kỳ,20/11/2019,20/11/2024,Standard Coupon,"3,7",21/11/2019,628 ngày,Bình thường,100000
BVDB19041,VND,7 Năm,Ngân hàng Phát triển Việt Nam,3.000.000,Định kỳ - Cuối kỳ,13/11/2019,13/11/2026,Standard Coupon,4,14/11/2019,1351 ngày,Bình thường,100000
BVDB19042,VND,7 Năm,Ngân hàng Phát triển Việt Nam,8.500.000,Định kỳ - Cuối kỳ,20/11/2019,20/11/2026,Standard Coupon,"3,9",21/11/2019,1358 ngày,Bình thường,100000
BVDB19061,VND,10 Năm,Ngân hàng Phát triển Việt Nam,10.000.000,Định kỳ - Cuối kỳ,13/11/2019,13/11/2029,Standard Coupon,"4,5",14/11/2019,2447 ngày,Bình thường,100000
BVDB19062,VND,10 Năm,Ngân hàng Phát triển Việt Nam,30.000.000,Định kỳ - Cuối kỳ,20/11/2019,20/11/2029,Standard Coupon,"4,4",21/11/2019,2454 ngày,Bình thường,100000
BVDB19063,VND,10 Năm,Ngân hàng Phát triển Việt Nam,10.000.000,Định kỳ - Cuối kỳ,27/11/2019,27/11/2029,Standard Coupon,"4,3",28/11/2019,2461 ngày,Bình thường,100000
BVDB19064,VND,10 Năm,Ngân hàng Phát triển Việt Nam,7.000.000,Định kỳ - Cuối kỳ,4/12/2019,4/12/2029,Standard Coupon,"4,2",5/12/2019,2468 ngày,Bình thường,100000
BVDB19081,VND,15 Năm,Ngân hàng Phát triển Việt Nam,10.000.000,Định kỳ - Cuối kỳ,13/11/2019,13/11/2034,Standard Coupon,"4,5",14/11/2019,4273 ngày,Bình thường,100000
BVDB19082,VND,15 Năm,Ngân hàng Phát triển Việt Nam,30.000.000,Định kỳ - Cuối kỳ,20/11/2019,20/11/2034,Standard Coupon,"4,5",21/11/2019,4280 ngày,Bình thường,100000
BVDB19083,VND,15 Năm,Ngân hàng Phát triển Việt Nam,11.470.000,Định kỳ - Cuối kỳ,27/11/2019,27/11/2034,Standard Coupon,"4,4",28/11/2019,4287 ngày,Bình thường,100000
BVDB19084,VND,15 Năm,Ngân hàng Phát triển Việt Nam,7.000.000,Định kỳ - Cuối kỳ,4/12/2019,4/12/2034,Standard Coupon,"4,3",5/12/2019,4294 ngày,Bình thường,100000
BVDB20084,VND,10 Năm,Ngân hàng Phát triển Việt Nam,50.000.000,Định kỳ - Cuối kỳ,11/11/2020,11/11/2030,Standard Coupon,"3,1",12/11/2020,2810 ngày,Bình thường,100000
BVDB20085,VND,10 Năm,Ngân hàng Phát triển Việt Nam,25.000.000,Định kỳ - Cuối kỳ,23/11/2020,23/11/2030,Standard Coupon,3,24/11/2020,2822 ngày,Bình thường,100000
BVDB20086,VND,10 Năm,Ngân hàng Phát triển Việt Nam,12.500.000,Định kỳ - Cuối kỳ,9/12/2020,9/12/2030,Standard Coupon,"2,7",10/12/2020,2838 ngày,Bình thường,100000
BVDB20087,VND,10 Năm,Ngân hàng Phát triển Việt Nam,6.000.000,Định kỳ - Cuối kỳ,23/12/2020,23/12/2030,Standard Coupon,"2,7",24/12/2020,2852 ngày,Bình thường,100000
BVDB20099,VND,15 Năm,Ngân hàng Phát triển Việt Nam,50.000.000,Định kỳ - Cuối kỳ,11/11/2020,11/11/2035,Standard Coupon,"3,3",12/11/2020,4636 ngày,Bình thường,100000
BVDB20100,VND,15 Năm,Ngân hàng Phát triển Việt Nam,25.000.000,Định kỳ - Cuối kỳ,23/11/2020,23/11/2035,Standard Coupon,"3,2",24/11/2020,4648 ngày,Bình thường,100000
BVDB20101,VND,15 Năm,Ngân hàng Phát triển Việt Nam,26.000.000,Định kỳ - Cuối kỳ,9/12/2020,9/12/2035,Standard Coupon,"2,9",10/12/2020,4664 ngày,Bình thường,100000
BVDB20102,VND,15 Năm,Ngân hàng Phát triển Việt Nam,15.500.000,Định kỳ - Cuối kỳ,23/12/2020,23/12/2035,Standard Coupon,"2,8",24/12/2020,4678 ngày,Bình thường,100000
BVDB20103,VND,15 Năm,Ngân hàng Phát triển Việt Nam,9.000.000,Định kỳ - Cuối kỳ,29/12/2020,29/12/2035,Standard Coupon,"2,9",30/12/2020,4684 ngày,Bình thường,100000
BVDB21061,VND,5 Năm,Ngân hàng Phát triển Việt Nam,10.000.000,Định kỳ - Cuối kỳ,24/11/2021,24/11/2026,Standard Coupon,"1,1",25/11/2021,1362 ngày,Bình thường,100000
BVDB21063,VND,5 Năm,Ngân hàng Phát triển Việt Nam,5.000.000,Định kỳ - Cuối kỳ,10/12/2021,10/12/2026,Standard Coupon,"1,1",13/12/2021,1378 ngày,Bình thường,100000
BVDB21076,VND,7 Năm,Ngân hàng Phát triển Việt Nam,10.000.000,Định kỳ - Cuối kỳ,24/11/2021,24/11/2028,Standard Coupon,"1,5",25/11/2021,2093 ngày,Bình thường,100000
BVDB21078,VND,7 Năm,Ngân hàng Phát triển Việt Nam,2.000.000,Định kỳ - Cuối kỳ,10/12/2021,10/12/2028,Standard Coupon,"1,5",13/12/2021,2109 ngày,Bình thường,100000
BVDB21091,VND,10 Năm,Ngân hàng Phát triển Việt Nam,10.000.000,Định kỳ - Cuối kỳ,24/11/2021,24/11/2031,Standard Coupon,"2,3",25/11/2021,3188 ngày,Bình thường,100000
BVDB21092,VND,10 Năm,Ngân hàng Phát triển Việt Nam,15.000.000,Định kỳ - Cuối kỳ,3/12/2021,3/12/2031,Standard Coupon,"2,3",6/12/2021,3197 ngày,Bình thường,100000
BVDB21093,VND,10 Năm,Ngân hàng Phát triển Việt Nam,40.000.000,Định kỳ - Cuối kỳ,10/12/2021,10/12/2031,Standard Coupon,"2,3",13/12/2021,3204 ngày,Bình thường,100000
BVDB21094,VND,10 Năm,Ngân hàng Phát triển Việt Nam,13.000.000,Định kỳ - Cuối kỳ,20/12/2021,20/12/2031,Standard Coupon,"2,5",21/12/2021,3214 ngày,Bình thường,100000
BVGD16497,VND,5 Năm,UBND tỉnh Bà Rịa - Vũng Tàu,5.000.000,Định kỳ - Cuối kỳ,9/9/2016,9/9/2021,Standard Coupon,"6,7",12/9/2016,9 ngày,Hủy niêm yết,100000
CP061102,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,4.000.000,Định kỳ - Cuối kỳ,26/04/2006,26/04/2011,Standard Coupon,"8,75",10/5/2006,0 ngày,Hủy niêm yết,100000
CP061103,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,3.500.000,Định kỳ - Cuối kỳ,10/5/2006,10/5/2011,Standard Coupon,"8,75",19/05/2006,0 ngày,Hủy niêm yết,100000
CP061104,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,7.000.000,Định kỳ - Cuối kỳ,17/05/2006,17/05/2011,Standard Coupon,"8,73",31/05/2006,0 ngày,Hủy niêm yết,100000
CP061105,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,5.000.000,Định kỳ - Cuối kỳ,7/6/2006,7/6/2011,Standard Coupon,"8,73",15/06/2006,0 ngày,Hủy niêm yết,100000
CP061106,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,4.920.000,Định kỳ - Cuối kỳ,21/06/2006,21/06/2011,Standard Coupon,"8,72",4/7/2006,0 ngày,Hủy niêm yết,100000
CP061107,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,3.000.000,Định kỳ - Cuối kỳ,19/07/2006,19/07/2011,Standard Coupon,"8,7",27/07/2006,0 ngày,Hủy niêm yết,100000
CP061108,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,4.800.000,Định kỳ - Cuối kỳ,26/07/2006,26/07/2011,Standard Coupon,"8,67",3/8/2006,0 ngày,Hủy niêm yết,100000
CP061109,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,3.000.000,Định kỳ - Cuối kỳ,2/8/2006,2/8/2011,Standard Coupon,"8,63",10/8/2006,0 ngày,Hủy niêm yết,100000
CP061110,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,5.000.000,Định kỳ - Cuối kỳ,16/08/2006,16/08/2011,Standard Coupon,"8,25",24/08/2006,0 ngày,Hủy niêm yết,100000
CP061111,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,5.000.000,Định kỳ - Cuối kỳ,9/8/2006,9/8/2011,Standard Coupon,"8,39",21/08/2006,0 ngày,Hủy niêm yết,100000
CP061112,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,30/08/2006,30/08/2011,Standard Coupon,"8,25",7/9/2006,0 ngày,Hủy niêm yết,100000
CP061113,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.700.000,Định kỳ - Cuối kỳ,23/08/2006,23/08/2011,Standard Coupon,"8,25",1/9/2006,0 ngày,Hủy niêm yết,100000
CP061114,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,13/09/2006,13/09/2011,Standard Coupon,"8,4",22/09/2006,0 ngày,Hủy niêm yết,100000
CP061115,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,27/09/2006,27/09/2011,Standard Coupon,"8,4",9/10/2006,0 ngày,Hủy niêm yết,100000
CP061116,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,20/09/2006,20/09/2011,Standard Coupon,"8,39",9/10/2006,0 ngày,Hủy niêm yết,100000
CP061117,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,18/10/2006,18/10/2011,Standard Coupon,"8,4",25/10/2006,0 ngày,Hủy niêm yết,100000
CP061119,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,3.000.000,Định kỳ - Cuối kỳ,25/10/2006,25/10/2011,Standard Coupon,"8,39",2/11/2006,0 ngày,Hủy niêm yết,100000
CP061121,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,1.980.000,Định kỳ - Cuối kỳ,15/11/2006,15/11/2011,Standard Coupon,"8,38",24/11/2006,0 ngày,Hủy niêm yết,100000
CP061122,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,22/11/2006,22/11/2011,Standard Coupon,"8,33",4/12/2006,0 ngày,Hủy niêm yết,100000
CP061123,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,15/11/2006,15/11/2011,Standard Coupon,"8,36",29/11/2006,0 ngày,Hủy niêm yết,100000
CP061124,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,4.000.000,Định kỳ - Cuối kỳ,11/12/2006,11/12/2011,Standard Coupon,"8,2",21/12/2006,0 ngày,Hủy niêm yết,100000
CP061125,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,29/11/2006,29/11/2011,Standard Coupon,"8,19",13/12/2006,0 ngày,Hủy niêm yết,100000
CP061126,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,1.900.000,Định kỳ - Cuối kỳ,22/12/2006,22/12/2011,Standard Coupon,"8,2",2/1/2007,0 ngày,Hủy niêm yết,100000
CP061318,VND,7 Năm,Kho bạc Nhà nước- Bộ Tài chính,3.778.400,Định kỳ - Cuối kỳ,4/10/2006,4/10/2013,Standard Coupon,"8,55",19/10/2006,0 ngày,Hủy niêm yết,100000
CP061320,VND,7 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,1/11/2006,1/11/2013,Standard Coupon,"8,55",15/11/2006,0 ngày,Hủy niêm yết,100000
CP061327,VND,7 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,13/12/2006,13/12/2013,Standard Coupon,"8,36",28/12/2006,0 ngày,Hủy niêm yết,100000
CP061601,VND,10 Năm,Kho bạc Nhà nước- Bộ Tài chính,1.600.000,Định kỳ - Cuối kỳ,28/03/2006,28/03/2016,Standard Coupon,"8,95",7/4/2006,0 ngày,Hủy niêm yết,100000
CP071201,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,3.000.000,Định kỳ - Cuối kỳ,24/01/2007,24/01/2012,Standard Coupon,"7,9",31/01/2007,0 ngày,Hủy niêm yết,100000
CP071202,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,3.000.000,Định kỳ - Cuối kỳ,15/01/2007,15/01/2012,Standard Coupon,"8,2",26/01/2007,0 ngày,Hủy niêm yết,100000
CP071203,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,5.000.000,Định kỳ - Cuối kỳ,31/01/2007,31/01/2012,Standard Coupon,"7,7",14/02/2007,0 ngày,Hủy niêm yết,100000
CP071204,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,5.000.000,Định kỳ - Cuối kỳ,24/01/2007,24/01/2012,Standard Coupon,"7,67",6/2/2007,0 ngày,Hủy niêm yết,100000
CP071205,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,5.000.000,Định kỳ - Cuối kỳ,7/2/2007,7/2/2012,Standard Coupon,"7,62",15/02/2007,0 ngày,Hủy niêm yết,100000
CP071206,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,5.000.000,Định kỳ - Cuối kỳ,1/2/2007,1/2/2012,Standard Coupon,"7,69",14/02/2007,0 ngày,Hủy niêm yết,100000
CP071207,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,3.000.000,Định kỳ - Cuối kỳ,28/02/2007,28/02/2012,Standard Coupon,"7,54",9/3/2007,0 ngày,Hủy niêm yết,100000
CP071208,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,7.000.000,Định kỳ - Cuối kỳ,7/3/2007,7/3/2012,Standard Coupon,"7,2",20/03/2007,0 ngày,Hủy niêm yết,100000
CP071209,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,10.000.000,Định kỳ - Cuối kỳ,19/03/2007,19/03/2012,Standard Coupon,"7,8",2/4/2007,0 ngày,Hủy niêm yết,100000
CP071210,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,7.000.000,Định kỳ - Cuối kỳ,5/3/2007,5/3/2012,Standard Coupon,"7,5",22/03/2007,0 ngày,Hủy niêm yết,100000
CP071211,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,6.600.000,Định kỳ - Cuối kỳ,28/03/2007,28/03/2012,Standard Coupon,"6,5",6/4/2007,0 ngày,Hủy niêm yết,100000
CP071213,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,7.000.000,Định kỳ - Cuối kỳ,11/4/2007,11/4/2012,Standard Coupon,7,20/04/2007,0 ngày,Hủy niêm yết,100000
CP071215,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,6.000.000,Định kỳ - Cuối kỳ,25/04/2007,25/04/2012,Standard Coupon,7,23/05/2007,0 ngày,Hủy niêm yết,100000
CP071217,VND,5 Năm,Kho bạc Nhà nước- Bộ Tài chính,2.000.000,Định kỳ - Cuối kỳ,9/5/2007,9/5/2012,Standard Coupon,"7,15",22/05/2007,0 ngày,Hủy niêm yết,100000
